name,unique_cycle_sum,unique_energy_sum,arith_meshX,arith_ins,mem0_ins,mem0_ent,mem1_ins,mem1_ent,mem2_ins,mem2_ent,mem3_ins,mem3_ent,mem4_ins,mem4_ent
arch_pe0.25_mac0.25_buf_2_4_2_0.5,7891341,5456328283.51,4,256,256,1,128,128,128,65536,64,2048,1,32768
arch_pe0.25_mac0.25_buf_2_4_2_1,7891341,5015310356.1,4,256,256,1,128,128,128,65536,64,2048,1,65536
arch_pe0.25_mac0.25_buf_2_4_2_2,7891341,4750696031.59,4,256,256,1,128,128,128,65536,64,2048,1,131072
arch_pe0.25_mac0.25_buf_2_4_2_4,7891341,4873956694.57,4,256,256,1,128,128,128,65536,64,2048,1,262144
arch_pe0.25_mac0.25_buf_2_4_4_0.5,7891341,5563496167.599999,4,256,256,1,128,128,128,65536,64,4096,1,32768
arch_pe0.25_mac0.25_buf_2_4_4_1,7891341,5049113189.329999,4,256,256,1,128,128,128,65536,64,4096,1,65536
arch_pe0.25_mac0.25_buf_2_4_4_2,7891341,4812582141.790001,4,256,256,1,128,128,128,65536,64,4096,1,131072
arch_pe0.25_mac0.25_buf_2_4_4_4,7891341,4656434405.35,4,256,256,1,128,128,128,65536,64,4096,1,262144
arch_pe0.25_mac0.25_buf_4_0.5_0.5_0.5,10306856,7815234870.090001,4,256,256,1,128,256,128,8192,64,512,1,32768
arch_pe0.25_mac0.25_buf_4_0.5_0.5_1,10574402,8353223986.739999,4,256,256,1,128,256,128,8192,64,512,1,65536
arch_pe0.25_mac0.25_buf_4_0.5_0.5_2,8967258,6210242558.429998,4,256,256,1,128,256,128,8192,64,512,1,131072
arch_pe0.25_mac0.25_buf_4_0.5_0.5_4,9102785,6568957869.860001,4,256,256,1,128,256,128,8192,64,512,1,262144
arch_pe0.25_mac0.25_buf_4_0.5_1_0.5,10306856,7969101575.97,4,256,256,1,128,256,128,8192,64,1024,1,32768
arch_pe0.25_mac0.25_buf_4_0.5_1_1,10178702,7305025786.910001,4,256,256,1,128,256,128,8192,64,1024,1,65536
arch_pe0.25_mac0.25_buf_4_0.5_1_2,8967258,6267140544.670001,4,256,256,1,128,256,128,8192,64,1024,1,131072
arch_pe0.25_mac0.25_buf_4_0.5_1_4,7891341,4824108110.009999,4,256,256,1,128,256,128,8192,64,1024,1,262144
arch_pe0.25_mac0.25_buf_4_0.5_2_0.5,10306856,7911811455.530001,4,256,256,1,128,256,128,8192,64,2048,1,32768
arch_pe0.25_mac0.25_buf_4_0.5_2_1,10178702,7412606957.83,4,256,256,1,128,256,128,8192,64,2048,1,65536
arch_pe0.25_mac0.25_buf_4_0.5_2_2,8967258,6018051612.150001,4,256,256,1,128,256,128,8192,64,2048,1,131072
arch_pe0.25_mac0.25_buf_4_0.5_2_4,7891341,4817268400.380001,4,256,256,1,128,256,128,8192,64,2048,1,262144
